Ypos,Zpos,Scan_min,Sel_x_min,Sel_z_min
34.0,36.5,0.5985228930261,4.5,2.25
34.0,36.75,0.52175901011886,4.5,2.25
34.0,37.0,0.63861677717859,6.75,4.5
34.0,37.25,0.29398406804843,6.75,9.0
34.0,37.5,0.7650687538767,9.0,13.5
34.0,37.75,0.68526958001215,9.0,15.75
34.0,38.0,0.36874311216451,11.25,22.5
34.0,38.25,0.49592946418335,13.5,27.0
34.0,38.5,0.47687026933105,13.5,29.25
34.0,38.75,0.5681987749947,15.75,24.75
34.25,31.25,0.45563433617985,6.75,-31.5
34.25,31.5,0.60636422812292,6.75,-31.5
34.25,31.75,0.47303507046878,4.5,-27.0
34.25,32.0,0.10188527563119,4.5,-22.5
34.25,32.25,0.45351625302285,4.5,-18.0
34.25,32.5,0.56161082621008,4.5,-13.5
34.25,32.75,0.45288714508474,4.5,-9.0
34.25,33.0,0.78736496934793,4.5,-6.75
34.25,33.25,0.83388341992084,2.25,-2.25
34.25,33.5,0.65338957934269,2.25,-2.25
34.25,33.75,0.49302452060025,2.25,0.0
34.25,34.0,0.23661611999396,2.25,0.0
34.25,34.25,0.21976993541118,2.25,0.0
34.25,34.5,0.17061259052887,2.25,0.0
34.25,34.75,0.13632734543368,2.25,0.0
34.25,35.0,0.29855006127349,2.25,0.0
34.25,35.25,0.50648359466761,2.25,0.0
34.25,35.5,0.62070593996887,2.25,-2.25
34.25,35.75,0.57506992143558,2.25,-2.25
34.25,36.0,0.58981056868199,2.25,0.0
34.25,36.25,0.49979821767098,2.25,0.0
34.25,36.5,0.66036329164186,4.5,0.0
34.25,36.75,0.31476286480382,4.5,2.25
34.25,37.0,0.21888206710522,4.5,4.5
34.25,37.25,0.80758335083613,4.5,6.75
34.25,37.5,0.28061377441317,6.75,11.25
34.25,37.75,0.54319271157856,6.75,15.75
34.25,38.0,0.46638560353306,9.0,20.25
34.25,38.25,0.83799665264161,11.25,27.0
34.25,38.5,0.14231218215196,11.25,29.25
34.25,38.75,0.3478270874536,11.25,27.0
34.5,31.25,0.35312682309007,4.5,-31.5
34.5,31.5,0.62560057203747,2.25,-31.5
34.5,31.75,0.3866385986219,2.25,-27.0
34.5,32.0,0.54062554851587,2.25,-22.5
34.5,32.25,0.62418888149714,2.25,-15.75
34.5,32.5,0.58170768565578,2.25,-11.25
34.5,32.75,0.49996893371282,2.25,-9.0
34.5,33.0,0.53403991213216,2.25,-4.5
34.5,33.25,0.47147627170221,2.25,-2.25
34.5,33.5,0.53795487475429,2.25,-2.25
34.5,33.75,0.24952981432611,2.25,0.0
34.5,34.0,0.14094946263334,2.25,0.0
34.5,34.25,0.22588920366414,2.25,0.0
34.5,34.5,0.13630715017872,2.25,0.0
34.5,34.75,0.045396358182945,2.25,0.0
34.5,35.0,0.28632929742948,2.25,0.0
34.5,35.25,0.52525966045663,2.25,0.0
34.5,35.5,0.56081606688062,2.25,-2.25
34.5,35.75,0.48743394372743,2.25,-2.25
